66.249.66.6 - - [22/Sep/2022:17:55:08 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
66.249.66.74 - - [22/Sep/2022:17:55:10 -0700] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
114.119.152.70 - - [22/Sep/2022:18:00:28 -0700] "GET /tpu2.html HTTP/1.1" 200 2278 "https://www.theashish.net/reactivelights.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
207.46.13.127 - - [22/Sep/2022:22:03:54 -0700] "GET /IMGS/ProjectPageFive/microthree%20(Copy).jpg HTTP/1.1" 200 50311 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "theashish.net"
114.119.134.51 - - [22/Sep/2022:22:23:13 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:05 -0700] "GET /wp-content/themes/seotheme/mar.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:14 -0700] "GET /wp-content/themes/seotheme/mar.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:17 -0700] "GET /wp-includes/shell20211028.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:19 -0700] "GET /wp-includes/shell20211028.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:25 -0700] "GET /1index.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
78.47.232.142 - - [22/Sep/2022:22:30:27 -0700] "GET /1index.php HTTP/1.1" 404 88 "www.google.com" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" "www.theashish.net"
