207.46.13.208 - - [20/Oct/2022:17:13:16 -0700] "GET /IMGS/ProjectPageFive/digitalone%20(Copy).jpg HTTP/1.1" 200 151702 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
54.184.47.178 - - [20/Oct/2022:17:57:10 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36" "theashish.net"
54.191.228.147 - - [20/Oct/2022:20:19:30 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.149.215.203 - - [20/Oct/2022:20:19:33 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
35.86.93.21 - - [20/Oct/2022:20:19:39 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.245.43.8 - - [20/Oct/2022:20:20:08 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
34.222.61.27 - - [20/Oct/2022:20:20:13 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
35.167.240.13 - - [20/Oct/2022:20:20:25 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:26:50 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:26:53 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:26:54 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:26:59 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:27:02 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [20/Oct/2022:20:27:06 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
114.119.135.63 - - [20/Oct/2022:20:48:06 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
114.119.152.64 - - [20/Oct/2022:23:28:27 -0700] "GET /IMGS/ProjectPageMini/nine%20(Copy).jpg HTTP/1.1" 200 115415 "https://theashish.net/ProjectPageMini.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:00:32:47 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:00:32:48 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:00:32:48 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
54.244.188.48 - - [21/Oct/2022:00:56:49 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:52:47 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:52:48 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:52:52 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:52:56 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:00 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:03 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:05 -0700] "GET /Certifications.html HTTP/1.1" 200 2352 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:09 -0700] "GET /ProjectPage.html HTTP/1.1" 200 3153 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:12 -0700] "GET /customguitar.html HTTP/1.1" 200 3138 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:16 -0700] "GET /facetrack.html HTTP/1.1" 200 2585 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:19 -0700] "GET /fpgagaming.html HTTP/1.1" 200 5466 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
147.78.47.249 - - [21/Oct/2022:03:53:20 -0700] "GET /_ignition/health-check/ HTTP/1.1" 404 88 "http://theashish.net/_ignition/health-check/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "theashish.net"
147.78.47.249 - - [21/Oct/2022:03:53:22 -0700] "GET /public/_ignition/health-check/ HTTP/1.1" 404 88 "http://theashish.net/public/_ignition/health-check/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "theashish.net"
147.78.47.249 - - [21/Oct/2022:03:53:25 -0700] "GET /wp-includes/wlwmanifest.xml HTTP/1.1" 404 88 "http://theashish.net/wp-includes/wlwmanifest.xml" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:30 -0700] "GET /guitarhero.html HTTP/1.1" 200 2730 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:38 -0700] "GET /index.html HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:43 -0700] "GET /ledcube.html HTTP/1.1" 200 2696 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:45 -0700] "GET /marblemaze.html HTTP/1.1" 200 2473 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:53:50 -0700] "GET /microelectronicslab.html HTTP/1.1" 200 2996 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:54:06 -0700] "GET /reactivelights.html HTTP/1.1" 200 2578 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:54:12 -0700] "GET /seniorresearch.html HTTP/1.1" 200 13494 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:54:15 -0700] "GET /tpu.html HTTP/1.1" 200 2295 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [21/Oct/2022:03:54:21 -0700] "GET /uscinternship.html HTTP/1.1" 200 3223 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
185.196.220.26 - - [21/Oct/2022:05:06:05 -0700] "GET /wp/ HTTP/1.1" 404 88 "http://theashish.net/wp/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12.6; rv:105.0) Gecko/20100101 Firefox/105.0" "theashish.net"
5.161.61.50 - - [21/Oct/2022:05:07:51 -0700] "GET /index.html HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36" "theashish.net"
114.119.152.71 - - [21/Oct/2022:06:18:49 -0700] "GET /IMGS/ProjectPageFive/microfour%20(Copy).jpg HTTP/1.1" 200 50297 "https://theashish.net/microelectronicslab.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
77.74.177.119 - - [21/Oct/2022:07:39:09 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
35.86.76.49 - - [21/Oct/2022:07:50:31 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
34.217.118.102 - - [21/Oct/2022:07:50:43 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.187.96.83 - - [21/Oct/2022:07:51:14 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.202.117.119 - - [21/Oct/2022:07:51:53 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
93.159.230.87 - - [21/Oct/2022:08:39:28 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
18.236.141.214 - - [21/Oct/2022:10:12:32 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36" "theashish.net"
116.255.178.218 - - [21/Oct/2022:10:23:17 -0700] "GET /wp-login.php HTTP/1.1" 404 88 "http://theashish.net/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96" "theashish.net"
198.17.110.223 - - [21/Oct/2022:10:48:07 -0700] "GET /marblemaze HTTP/1.1" 200 2473 "https://www.google.com/" "Mozilla/5.0 (X11; CrOS x86_64 15054.98.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36" "www.theashish.net"
198.17.110.223 - - [21/Oct/2022:10:48:08 -0700] "GET /IMGS/ProjectPageTen/five.jpg HTTP/1.1" 200 97618 "https://www.theashish.net/marblemaze" "Mozilla/5.0 (X11; CrOS x86_64 15054.98.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36" "www.theashish.net"
