165.232.104.202 - - [06/Jan/2023:16:32:51 -0800] "GET /ledcube.html HTTP/1.1" 200 2696 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "www.theashish.net"
54.36.149.100 - - [06/Jan/2023:17:00:39 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.10 - - [06/Jan/2023:17:00:42 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.5 - - [06/Jan/2023:17:00:43 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 21377 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.1 - - [06/Jan/2023:17:00:44 -0800] "GET /IMGS/microblaze_system.png HTTP/1.1" 200 73636 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.16 - - [06/Jan/2023:17:00:44 -0800] "GET /IMGS/tpu_indeximg.PNG HTTP/1.1" 200 36162 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.17 - - [06/Jan/2023:17:00:45 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 9833 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.15 - - [06/Jan/2023:17:00:45 -0800] "GET /IMGS/customguitar/xephos.jpg HTTP/1.1" 200 2050459 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.19 - - [06/Jan/2023:17:00:46 -0800] "GET /js/jquery.js HTTP/1.1" 200 33224 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.17 - - [06/Jan/2023:17:00:47 -0800] "GET /IMGS/FPGAgaming/FPGAgaming.PNG HTTP/1.1" 200 928710 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.1 - - [06/Jan/2023:17:00:48 -0800] "GET /IMGS/ProjectPageEight/one.jpg HTTP/1.1" 200 82061 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.17 - - [06/Jan/2023:17:00:48 -0800] "GET /IMGS/ProjectPageFive/bgimg.PNG HTTP/1.1" 200 547162 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.19 - - [06/Jan/2023:17:00:49 -0800] "GET /IMGS/ProjectPageOne/two%20(Copy).jpg HTTP/1.1" 200 84792 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.8 - - [06/Jan/2023:17:00:49 -0800] "GET /IMGS/ProjectPageTen/five.jpg HTTP/1.1" 200 97618 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.11 - - [06/Jan/2023:17:00:50 -0800] "GET /IMGS/ProjectPageSeven/one%20(Copy).jpg HTTP/1.1" 200 91631 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.13 - - [06/Jan/2023:17:00:51 -0800] "GET /IMGS/ProjectPageTwo/three%20(Copy).jpg HTTP/1.1" 200 75727 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.10 - - [06/Jan/2023:17:00:51 -0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 19744 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
