114.119.136.246 - - [28/Jan/2023:16:07:37 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
114.119.132.45 - - [28/Jan/2023:16:50:06 -0800] "GET /ProjectPage HTTP/1.1" 200 3153 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
101.68.211.2 - - [28/Jan/2023:16:51:40 -0800] "GET / HTTP/1.1" 200 19416 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0" "www.theashish.net"
101.68.211.2 - - [28/Jan/2023:16:54:11 -0800] "GET / HTTP/1.1" 200 19416 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0" "www.theashish.net"
175.44.42.90 - - [28/Jan/2023:16:55:27 -0800] "GET / HTTP/1.1" 200 4090 "https://www.epcpolo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" "theashish.net"
54.36.148.37 - - [28/Jan/2023:17:26:10 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.19 - - [28/Jan/2023:17:26:12 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.14 - - [28/Jan/2023:17:26:14 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 21377 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.10 - - [28/Jan/2023:17:26:23 -0800] "GET /IMGS/microblaze_system.png HTTP/1.1" 200 73636 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.18 - - [28/Jan/2023:17:26:24 -0800] "GET /IMGS/tpu_indeximg.PNG HTTP/1.1" 200 36162 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.13 - - [28/Jan/2023:17:26:25 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 9833 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
