87.250.224.4 - - [18/Feb/2023:16:07:34 -0800] "GET /robots.txt HTTP/1.1" 404 73 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.theashish.net"
87.250.224.20 - - [18/Feb/2023:16:07:37 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.theashish.net"
114.119.144.165 - - [18/Feb/2023:17:26:52 -0800] "GET /facetrack.html HTTP/1.1" 200 2585 "https://theashish.net/uscinternship" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
52.167.144.55 - - [18/Feb/2023:17:47:21 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
66.249.66.32 - - [18/Feb/2023:17:48:31 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.theashish.net"
66.249.66.68 - - [18/Feb/2023:17:48:35 -0800] "GET /css/modern-business.css HTTP/1.1" 404 88 "https://www.theashish.net/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/109.0.5414.101 Safari/537.36" "www.theashish.net"
66.249.66.45 - - [18/Feb/2023:17:48:35 -0800] "GET /css/modern-business.css HTTP/1.1" 404 88 "https://www.theashish.net/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/109.0.5414.101 Safari/537.36" "www.theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:06 -0800] "GET /wp-2018.php HTTP/1.1" 404 88 "http://theashish.net//wp-2018.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /wp-2020.php HTTP/1.1" 404 88 "http://theashish.net//wp-2020.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /wp-2021.php HTTP/1.1" 404 88 "http://theashish.net//wp-2021.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /wp-2022.php HTTP/1.1" 404 88 "http://theashish.net//wp-2022.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /0z.php HTTP/1.1" 404 88 "http://theashish.net//0z.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /lock360.php HTTP/1.1" 404 88 "http://theashish.net//lock360.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /wp-22.php HTTP/1.1" 404 88 "http://theashish.net//wp-22.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:07 -0800] "GET /wp-2019.php HTTP/1.1" 404 88 "http://theashish.net//wp-2019.php" "Go-http-client/2.0" "theashish.net"
20.125.134.140 - - [18/Feb/2023:18:59:08 -0800] "GET /fw.php HTTP/1.1" 404 88 "http://theashish.net//fw.php" "Go-http-client/2.0" "theashish.net"
